# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
33761	Bokar	ALL	kə baŋ	all / everything	OLD	k ə _ b a ŋ	14	1321	1 7 9 1 7 4	AX_AXN	KE_PAN	6	6.K.C 6.E.V 6._._ 6.P.C 6.A.V 6.N.c	2.0 1.5 0.0 2.0 1.5 0.8	0
1223	Nubri	ALL	tɕjapt̪a	All:	NEW	t ɕ j a p t̪ a	15	0	1 3 6 7 1 1 7	ACCXMBZ	TSJAPTA	36	36.T.C 36.S.C 36.J.C 36.A.V 36.P.c 36.T.C 36.A.V	2.0 1.5 1.5 1.5 1.1 1.75 0.8	1
1475	Sherpa	ALL	jukəj	All:	NEW	j u k ə j	19	0	6 7 1 7 6	AXBYN	JYKEJ	44	44.J.C 44.Y.V 44.K.C 44.E.V 44.J.c	2.0 1.5 1.75 1.3 0.8	0
1718	Tsum	ALL	tɕjop	All:	NEW	t ɕ j o p	15	0	1 3 6 7 1	ACCXN	TSJUP	51	51.T.C 51.S.C 51.J.C 51.U.V 51.P.c	2.0 1.5 1.5 1.5 0.8	1
34717	Tibetan_Alike	ALL	tshaŋ mæ	all / everything	OLD	tsʰ a ŋ _ m æ	14	5663	2 7 4 9 4 7	AXN_AX	CAN_ME	47	47.C.C 47.A.V 47.N.c 47._._ 47.M.C 47.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0
1984	Yolmo	ALL	ndzamaɹaŋ	All:	NEW	n d z a m a ɹ a ŋ	12	0	4 1 3 7 4 7 5 7 4	ACCYBYBYN	NTSAMARAN	57	57.N.C 57.T.C 57.S.C 57.A.V 57.M.C 57.A.V 57.R.C 57.A.V 57.N.c	2.0 1.5 1.5 1.3 1.75 1.3 1.75 1.3 0.8	0
44097	Achang_Longchuan	ALL	pʐa⁵⁵pʐa⁵⁵	all 1	OLD	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	11	8001	1 3 7 8 9 1 3 7 8	ACXT_ACXT	PSA5_PSA5	1	1.P.C 1.S.C 1.A.V 1.5.T 1._._ 1.P.C 1.S.C 1.A.V 1.5.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0
35848	Japhug	ALL	lonba	all	OLD	l o n mb a	17	1275	5 7 4 4 7	AXMBZ	LUNMA	20	20.L.C 20.U.V 20.N.c 20.M.C 20.A.V	2.0 1.5 1.1 1.75 0.8	0
40757	Old_Chinese	ALL	brom		OLD	b r o m	16	1186	1 5 7 4	ACXN	PRUM	38	38.P.C 38.R.C 38.U.V 38.M.c	2.0 1.5 1.5 0.8	0
40758	Old_Chinese	ALL	gˤrəm		OLD	gˤ r ə m	12	3684	1 5 7 4	ACXN	KREM	38	38.K.C 38.R.C 38.E.V 38.M.c	2.0 1.5 1.5 0.8	0
41056	Old_Burmese	ALL	ʔa◦kun		OLD	ʔ a + k u n	14	3899	1 7 9 1 7 4	AX_AXN	HA_KYN	37	37.H.C 37.A.V 37._._ 37.K.C 37.Y.V 37.N.c	2.0 1.5 0.0 2.0 1.5 0.8	0
41553	Wobzi_Khroskyabs	ALL	pâ		OLD	p â/a	16	5037	1 7	AX	PA	53	53.P.C 53.A.V	2.0 1.5	0
