SN.		Nepali	English	Namrung	Lhi	Lho	Sho	Sama
१०८		भाइ	younger brother	no̤	bu	no̤	no̤	bū
१०९		दिदी	older sister	étsi	atsi	ai	ai	edzi
११०		बहिनी	younger sister	no̤	bʰõ	bʰõ	no̤	bʰõ
१११		छोरो	son	bù	bù	bù	bù	bù
११२५		छोरी	daughter	bʰõ	bʰõ	bʰõ	bʰõ	bʰõ
११३		लोग्ने (श्रीमान)	husband	kʰéwa	kʰjoga	kʰjówa	kʰjówa	kʰjóka
११४		स्वास्नी (श्रीमती)	wife	bʰīme	bʰime	bʰime	bʰēme	bʰēme
११५		केटो	boy	kʰúktuŋ	bù	kʰjokdoŋ	kʰjokdoŋ	-
११६		केटी	girl	bʰõ	bʰõ	bʰõ	bʰõ	-
११७		दिन	day	nimu	nímo	nimu	ŋimo	ŋimu
११८		रात	night	tsʰemo	tsʰemo	tsʰemu	tsʰemo	tsʰemo
११९		विहान	morning	ɖokoŋ	ɖokoŋ	ɖokoŋ	ɖokoŋ	ɖokuŋ
१२०		मध्यान्ह	noon	-	-	ŋimu	-	-
१२१		साँझ	evening	goŋmo	goŋmo	goŋmo	goŋmo	goŋmo
१२२		हिजो	yesterday	daŋ	daŋ	daŋ	daŋ	daŋ
१२३		आज	today	ɖiriŋ	ɖiriŋ	ɖiriŋ	ɖiriŋ	ɖiriŋ
१२४		भोली	tomorrow	ŋáro	ŋáro	ŋáro	ŋáro	ŋáro
१२५		हप्ता (साता)	week	dundaktsik	sjabadun	dundaktsik	sjaŋmadun	sjamadiŋ
१२६		महिना	month	da̤wa	da̤wa	da̤wa	da̤wa	da̤
१२७		वर्ष	year	lo	lo	lo	lo	lo
१२८		बूढो	old	niŋba	niŋba	niŋba	niŋba	niŋba
१२९		नयाँ	new	samba	samba	samba	samba	samba
१३०		राम्रो (असल)	good	gaú	l̥ebu	gnu	leu	leu
१३१		नराम्रो (खराब)	bad	habẽ	góbo	guktsja	haú	hjae
१३२		चिसो	wet	ɖʰaŋmo	ɖʰaŋmo	ɖʰaŋmo	ɖʰaŋmo	ɖʰaŋmo
१३३		सुख्खा	dry	kambo	kipu	kambo	kambo	kampu
१३४		लामो	long	rīŋbu	rīŋbu	rīŋbu	riŋbu	riŋbu
१३५		छोटो	short	ʈēma	ʈēma	ʈēma	ʈēma	tene
१३६		तातो	hot	tsande	doŋbo	tsʰande	tsʰande	tsʰedza
१३७		चिसो	cold	ɖʰaŋmo	ɖʰaŋmo	ɖʰaŋmo	ɖʰaŋmo	draŋmu
१३८		दाहिने	right	eba	eba	eba	eba	eba
१३९		देव्रे	left	ema	ema	ema	ema	ema
१४०		नजिक	near	damla	ŋimo	damla	ŋjaṳ	ŋjaṳ
१४१		टाढा	far	gjaŋriŋbu	riŋbu	tʰakriŋbu	tʰakriŋbu	gjāŋbu
१४२		ठूलो	big	tsʰumbo	tsʰempo	tsʰumbo	tsʰjumbo	tsʰjémpu
१४३		सानो	small	tsēma	tsēma	tsēma	tsēma	tsēma
१४४		गह्रौँ	heavy	tsjande	tsente	tsende	tsande	tsʰindì
१४५		हलुका	light	jaŋmo	jaŋmo	jaŋmo	jaŋmo	jaŋbu
