ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	NOTE
334	Jirel	Thorn	tsaŋ	tsaŋ	ts a.ŋ	thorn/tsaŋ	66	810	ts a.ŋ	[x]
593	Kagate	Thorn	tsʰermaŋ	tsʰermaŋ	tsʰ e.r + m a.!ŋ/Ø	thorn/tsher _:ma-suffix/ma	2745 1442	808	tsʰ e.r + m a.!ŋ/Ø	[x] judgment on maŋ shaky
849	Lowa	Thorn	tsʰeɾma	tsʰeɾma	tsʰ e.ɾ + m a	thorn/tsher _:ma-suffix/ma	2745 1442	808	tsʰ e.ɾ + m a	[x]
1104	Nubri	Thorn	tsʰerma	tsʰerma	tsʰ e.r + m a	thorn/tsher _:ma-suffix/ma	2745 1442	808	tsʰ e.r + m a	[x]
1357	Sherpa	Thorn	tsʰermaŋ	tsʰermaŋ	tsʰ e.r + m a.!ŋ/Ø	thorn/tsher _:ma-suffix/ma	2745 1442	808	tsʰ e.r + m a.!ŋ/Ø	[x] judgment on maŋ shaky
1601	Tsum	Thorn	tsʰenma	tsʰenma	tsʰ e.!n/r + m a	thorn/tsher _:ma-suffix/ma	2745 1442	808	tsʰ e.!n/r + m a	[x]
1865	Yolmo	Thorn	tsʰeɹma	tsʰeɹma	tsʰ e.ɹ + m a	thorn/tsher _:ma-suffix/ma	2745 1442	808	tsʰ e.ɹ + m a	[x]
73	Gyalsumdo	Flower	mend̪o	mend̪o	m e.n + d/d̪ o	flower fruit	1034 1061	305	m e.n + d/d̪ o	[x]
335	Jirel	Flower	mend̪ok	mend̪ok	m e.n + d o.k	flower fruit	1034 1061	305	m e.n + d o.k	[x]
594	Kagate	Flower	mend̪o	mend̪o	m e.n + d̪ o	flower fruit	1034 1061	305	m e.n + d̪ o	[x]
850	Lowa	Flower	ment̪o	ment̪o	m e.n + t̪ o.!Ø/ʔ	flower fruit	1034 1061	305	m e.n + t̪ o.!Ø/ʔ	[x]
1105	Nubri	Flower	met̪o	met̪o	m e + t̪ o.!Ø/ʔ	flower fruit	1034 1061	305	m e - + t̪ o.!Ø/ʔ -	[x]
1358	Sherpa	Flower	mend̪o	mend̪o	m e.n + d o	flower fruit	1034 1061	305	m e.n + d o	[x]
1602	Tsum	Flower	mend̪oʔ	mend̪oʔ	m e.n + d̪ o.ʔ	flower fruit	1034 1061	305	m e.n + d̪ o.ʔ	[x]
1866	Yolmo	Flower	mend̪o	mend̪o	m e.n + d o	flower fruit	1034 1061	305	m e.n + d o	[x]
74	Gyalsumdo	Fruit	ɕiŋd̪o	ɕiŋd̪o	ɕ i.ŋ + d̪ o	tree/siŋ fruit	991 1061	308	ɕ i.ŋ + d̪ o	[x]
336	Jirel	Fruit	pʰəlpʰul	pʰəlpʰul	pʰ ə.l + pʰ u.l	*fruit-1 *fruit-2	1062 1063	310	pʰ ə.l + pʰ u.l	[!] borrowing from Nepali
595	Kagate	Fruit	brumd̪o	brumd̪o	b.r u.m + d̪ o	? fruit	1064 1061	308	b.r u.m + d̪ o	[x]
851	Lowa	Fruit	ɕiŋt̪oʔ	ɕiŋt̪oʔ	ɕ i.ŋ + t̪ o.ʔ	tree/siŋ fruit	991 1061	308	ɕ i.ŋ + t̪ o.ʔ	[x]
1106	Nubri	Fruit	ɕiŋt̪oʔ	ɕiŋt̪oʔ	ɕ i.ŋ + t̪ o.ʔ	tree/siŋ fruit	991 1061	308	ɕ i.ŋ + t̪ o.ʔ	[x]
1359	Sherpa	Fruit	pʰalpʰul	pʰalpʰul	pʰ a.l + pʰ u.l	*fruit-1 *fruit-2	1062 1063	310	pʰ a.l + pʰ u.l	[!] borrowing from Nepali
1603	Tsum	Fruit	ɕiŋd̪oʔ	ɕiŋd̪oʔ	ɕ i.ŋ + d̪ o.ʔ	tree/siŋ fruit	991 1061	308	ɕ i.ŋ + d̪ o.ʔ	[x]
1867	Yolmo	Fruit	pʰəlbul	pʰəlbul	pʰ ə.l + b u.l	*fruit-1 *fruit-2	1062 1063	310	pʰ ə.l + b u.l	[!] borrowing from Nepali
75	Gyalsumdo	Mango	ãp	ãp	ã.p	mango	1633	473	ã.p	[x]
337	Jirel	Mango	ãp	ãp	ã.p	mango	1633	473	ã.p	[x]
596	Kagate	Mango	ãp	ãp	ã.p	mango	1633	473	ã.p	[x]
852	Lowa	Mango	ãm	ãm	ã.m	mango	1633	473	ã.m	[x]
1107	Nubri	Mango	ãb	ãb	ã.p	mango	1633	473	ã.p	[x]
1360	Sherpa	Mango	ãp	ãp	ã.p	mango	1633	473	ã.p	[x]
1604	Tsum	Mango	ap	ap	ã.p	mango	1633	473	ã.p	[x]
1868	Yolmo	Mango	ãm	ãm	ã.m	mango	1633	473	ã.m	[x]
76	Gyalsumdo	Banana	keɹa	keɹa	k e + ɹ a	banana/ke banana/ra	130 131	45	k e + ɹ a	[x]
338	Jirel	Banana	ɹeŋaɕiŋ	ɹeŋaɕiŋ	ɹ e + ŋ a + ɕ i.ŋ	banana/re banana/ŋa _tree/siŋ	131 67 991	46	ɹ e + ŋ a + ɕ i.ŋ	[?]
597	Kagate	Banana	alamu	alamu	a + l a + m u	banana/a banana/la banana/mu	134 135 136	47	a + l a + m u	[?]
853	Lowa	Banana	keɾa	keɾa	k e + ɾ a	banana/ke banana/ra	130 131	45	k e + ɾ a	[x]
1108	Nubri	Banana	kela	kela	k e + l a	banana/ke banana/ra	130 131	45	k e + l a	[x]
1361	Sherpa	Banana	kera	kera	k e + r a	banana/ke banana/ra	130 131	45	k e + r a	[x]
1605	Tsum	Banana	keɾa	keɾa	k e + ɾ a	banana/ke banana/ra	130 131	45	k e + ɾ a	[x]
1869	Yolmo	Banana	keɾa	keɾa	k e + ɾ a	banana/ke banana/ra	130 131	45	k e + ɾ a	[x]
77	Gyalsumdo	Wheat (husked)	to	to	t o	wheat/to	3568	1091	t o -	[x]
339	Jirel	Wheat (husked)	tʰa	tʰa	tʰ a	wheat/to	3568	1091	tʰ a -	[x]
598	Kagate	Wheat (husked)	nẽjã	nẽjã	n ẽ + j ã	wheat/ne _wheat/ja	3569 3570	1092	n ẽ + j ã	[x]
854	Lowa	Wheat (husked)	to	to	t o	wheat/to	3568	1091	t o -	[x]
