ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
35	Jirel_Sikri	AXE	677	təri / teri			axe	677	AXE	2
36	Jirel_Sikri	ROPE	1218	ṭhakpa/tha?pa			rope	1218	ROPE	2
37	Jirel_Sikri	THREAD	1161	sutak /sutak			thread	1161	THREAD	2
38	Jirel_Sikri	NEEDLE (FOR SEWING)	1382	khap			needle	1382	NEEDLE (FOR SEWING)	2
39	Jirel_Sikri	CLOTH	1616	kholak			cloth	1616	CLOTH	2
41	Jirel_Sikri	SUN	1343	ŋima			sun	1343	SUN	2
42	Jirel_Sikri	MOON	1313	dagar			moon	1313	MOON	2
43	Jirel_Sikri	SKY	1732	nam			sky	1732	SKY	2
44	Jirel_Sikri	STAR	1430	tara/ karma			star	1430	STAR	2
47	Jirel_Sikri	RIVER	666	ṭaŋka / thaŋka			river	666	RIVER	2
48	Jirel_Sikri	CLOUD	1489	mukpa			cloud	1489	CLOUD	2
49	Jirel_Sikri	LIGHTNING	1654	tsilam			lightening	1654	LIGHTNING	2
50	Jirel_Sikri	RAINBOW	1733	dza			rainbow	1733	RAINBOW	2
51	Jirel_Sikri	WIND	960	hawa /lhaba			wind	960	WIND	2
53	Jirel_Sikri	PATH	2252	lam			path	2252	PATH	2
54	Jirel_Sikri	SAND	671	baluwa 			sand	671	SAND	2
55	Jirel_Sikri	FIRE	221	me (low tone) 			fire	221	FIRE	2
57	Jirel_Sikri	ASH	646	thala			ash	646	ASH	2
58	Jirel_Sikri	MUD	640	sebi			mud	640	MUD	2
59	Jirel_Sikri	DUST	2	dhulo			dust	2	DUST	2
60	Jirel_Sikri	GOLD	1369	ser			gold	1369	GOLD	2
61	Jirel_Sikri	TREE	906	doŋbo			tree	906	TREE	2
63	Jirel_Sikri	ROOT	670	tsaprin /tsapren			root	670	ROOT	2
64	Jirel_Sikri	THORN	124	tsaŋ			thorn	124	THORN	2
65	Jirel_Sikri	FLOWER	239	menduk			flower	239	FLOWER	2
66	Jirel_Sikri	FRUIT	1507	phəlphul			fruit	1507	FRUIT	2
67	Jirel_Sikri	MANGO	2398	ãp			mango	2398	MANGO	2
