ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	GLOSSNEPALI	ORTHOGRAPHIC
85	Nubri_Lho	FAT (OF MEAT AND FOOD)	2449	tsʰīlu			fat (of meat)	बोसो	८५
86	Nubri_Lho	FISH	227	ɳa̤			fish	माछा	८६
87	Nubri_Lho	CHICKEN	1318	dzʰjãu			chicken	चल्ला	८७
88	Nubri_Lho	EGG	744	gʷa̤			egg	अण्डा	८८
89	Nubri_Lho	COW	1007	ʈolmo			cow	गाई	८९
90	Nubri_Lho	BUFFALO	934	mai			buffalo	भैँसी	९०
91	Nubri_Lho	MILK	635	wʰama			milk	दुध	९१
92	Nubri_Lho	HORN (ANATOMY)	1393	sakjok			horns	सिङ	९२
93	Nubri_Lho	TAIL	1220	wa			tail	पुच्छर	९३
94	Nubri_Lho	GOAT	1502	ra̤			goat	बाख्रो	९४
95	Nubri_Lho	DOG	2009	kì			dog	कुकुर	९५
96	Nubri_Lho	SNAKE	730	ɖul			snake	सर्प	९६
97	Nubri_Lho	MONKEY	1350	ʈegen			monkey	बाँदर	९७
99	Nubri_Lho	ANT	587	kisik			ant	कमिला	९९
100	Nubri_Lho	SPIDER	843	tsasik			spider	माकुरो	१००
101	Nubri_Lho	NAME	1405	miŋ			name	नाम	१०१
102	Nubri_Lho	MAN	1554	mɛ			man	मान्छे	१०२
103	Nubri_Lho	WOMAN	962	bomsja			woman	आइमाई	१०३
104	Nubri_Lho	CHILD	2099	bisa			child	बच्चा	१०४
105	Nubri_Lho	FATHER	1217	aʷa			father	बाबा	१०५
106	Nubri_Lho	MOTHER	1216	ã			mother	आमा	१०६
107	Nubri_Lho	OLDER BROTHER	1759	atsjo			older brother	दाजु	१०७
108	Nubri_Lho	YOUNGER BROTHER	1760	no̤			younger brother	भाइ	१०८
109	Nubri_Lho	OLDER SISTER	1758	ai			older sister	दिदी	१०९
110	Nubri_Lho	YOUNGER SISTER	1761	bʰõ			younger sister	बहिनी	११०
111	Nubri_Lho	SON	1620	bù			son	छोरो	१११
112	Nubri_Lho	DAUGHTER	1357	bʰõ			daughter	छोरी	११२५
113	Nubri_Lho	HUSBAND	1200	kʰjówa			husband	लोग्ने (श्रीमान)	११३
114	Nubri_Lho	WIFE	1199	bʰime			wife	स्वास्नी (श्रीमती)	११४
115	Nubri_Lho	BOY	1366	kʰjokdoŋ			boy	केटो	११५
116	Nubri_Lho	GIRL	1646	bʰõ			girl	केटी	११६
117	Nubri_Lho	DAY (NOT NIGHT)	1225	nimu			day	दिन	११७
118	Nubri_Lho	NIGHT	1233	tsʰemu			night	रात	११८
119	Nubri_Lho	MORNING	1339	ɖokoŋ			morning	विहान	११९
120	Nubri_Lho	NOON	2490	ŋimu			noon	मध्यान्ह	१२०
121	Nubri_Lho	EVENING	1629	goŋmo			evening	साँझ	१२१
122	Nubri_Lho	YESTERDAY	1174	daŋ			yesterday	हिजो	१२२
123	Nubri_Lho	TODAY	1283	ɖiriŋ			today	आज	१२३
124	Nubri_Lho	TOMORROW	1329	ŋáro			tomorrow	भोली	१२४
125	Nubri_Lho	WEEK	1469	dundaktsik			week	हप्ता (साता)	१२५
126	Nubri_Lho	MONTH	1370	da̤wa			month	महिना	१२६
127	Nubri_Lho	YEAR	1226	lo			year	वर्ष	१२७
128	Nubri_Lho	OLD	1229	niŋba			old	बूढो	१२८
129	Nubri_Lho	NEW	1231	samba			new	नयाँ	१२९
130	Nubri_Lho	GOOD	1035	gnu			good	राम्रो (असल)	१३०
131	Nubri_Lho	BAD	1292	guktsja			bad	नराम्रो (खराब)	१३१
132	Nubri_Lho	WET	1726	ɖʰaŋmo			wet	चिसो	१३२
133	Nubri_Lho	DRY	1398	kambo			dry	सुख्खा	१३३
134	Nubri_Lho	LONG	1203	rīŋbu			long	लामो	१३४
135	Nubri_Lho	SHORT	1645	ʈēma			short	छोटो	१३५
136	Nubri_Lho	HOT	1286	tsʰande			hot	तातो	१३६
137	Nubri_Lho	COLD	1287	ɖʰaŋmo			cold	चिसो	१३७
138	Nubri_Lho	RIGHT	1019	eba			right	दाहिने	१३८
139	Nubri_Lho	LEFT	244	ema			left	देव्रे	१३९
140	Nubri_Lho	NEAR	1942	damla			near	नजिक	१४०
141	Nubri_Lho	FAR	1406	tʰakriŋbu			far	टाढा	१४१
142	Nubri_Lho	BIG	1202	tsʰumbo			big	ठूलो	१४२
143	Nubri_Lho	SMALL	1246	tsēma			small	सानो	१४३
144	Nubri_Lho	HEAVY	1210	tsende			heavy	गह्रौँ	१४४
145	Nubri_Lho	LIGHT (WEIGHT)	1052	jaŋmo			light	हलुका	१४५
146	Nubri_Lho	ABOVE	1741	jaŋla			above	माथि	१४६
147	Nubri_Lho	DOWN OR BELOW	2094	wakla			below	तल	१४७
148	Nubri_Lho	WHITE	1335	karpo			white	सेतो	१४८
149	Nubri_Lho	BLACK	163	nakpo			black	कालो	१४९
150	Nubri_Lho	RED	156	marpo			red	रातो	१५०
151	Nubri_Lho	ONE	1493	tsik			one	एक	१५१
152	Nubri_Lho	TWO	1498	ni̤			two	दुई	१५२
153	Nubri_Lho	THREE	492	sum			three	तीन	१५३
154	Nubri_Lho	FOUR	1500	ʃi			four	चार	१५४
155	Nubri_Lho	FIVE	493	ŋá			five	पाँच	१५५
156	Nubri_Lho	SIX	1703	duk			six	छ	१५६
157	Nubri_Lho	SEVEN	1704	ɖʰun			seven	सात	१५७
158	Nubri_Lho	EIGHT	1705	ke			eight	आठ	१५८
159	Nubri_Lho	NINE	1483	gù			nine	नौ	१५९
160	Nubri_Lho	TEN	1515	tsū			ten	दश	१६०
161	Nubri_Lho	ELEVEN	1706	tsūktsik			eleven	एघार	१६१
162	Nubri_Lho	TWELVE	1707	tsūni̤			twelve	बाह्र	१६२
163	Nubri_Lho	TWENTY	1710	niʃu			twenty	बीस	१६३
164	Nubri_Lho	HUNDRED	1634	gja̤			one hundred	एक सय	१६४
165	Nubri_Lho	WHO	1235	su			who	को	१६५
166	Nubri_Lho	WHAT	1236	tsī			what	के	१६६
167	Nubri_Lho	WHERE	1237	gána			where	कहाँ	१६७
168	Nubri_Lho	WHEN	1238	nam			when	कहिले	१६८
169	Nubri_Lho	HOW MANY	822	gatsò			how many	कति	१६९
170	Nubri_Lho	WHICH	727	gandi			which	कुन	१७०
171	Nubri_Lho	THIS	1214	di̤			this	यो	१७१
172	Nubri_Lho	THAT	78	hʌudi̤			that	त्यो	१७२
173	Nubri_Lho			dzjaptak			these	यिनीहरू	१७३
174	Nubri_Lho			dzjaptak			those	उनीहरू	१७४
175	Nubri_Lho	SAME	200	tsjamla			same	उही	१७५
176	Nubri_Lho	DIFFERENT	2504	sjamin			different	फरक (अलग)	१७६
177	Nubri_Lho	WHOLE	2277	tsʰaŋmo			whole	सबै	१७७
178	Nubri_Lho	BROKEN	588	tsʰakdzoŋ			broken	फुटेको	१७८
179	Nubri_Lho	FEW	1242	tsèdza			few	थोरै	१७९
180	Nubri_Lho	MANY	1198	māŋbo			many	धेरै	१८०
182	Nubri_Lho	EAT	1336	sɛ̄			to eat	खानु	१८२
183	Nubri_Lho	BITE	1403	akragjap			to bite	टोक्नु	१८३
184	Nubri_Lho	BE HUNGRY	1533	ɖʰubaʈo			to be hungry	भोकाउनु	१८४
185	Nubri_Lho	DRINK	1401	tʰuŋ			to drink	पिउनु	१८५
186	Nubri_Lho	THIRSTY	847	kʰakom			to be thirsty	तिर्खाउनु	१८६
187	Nubri_Lho	SLEEP	1585	ŋjal			to sleep	सुत्‍नु	१८७
188	Nubri_Lho	LIE (REST)	1411	lalogjal			to lie	पल्टनु	१८८
189	Nubri_Lho	SIT	1416	dɛ̀			to  sit	बस्नु	१८९
190	Nubri_Lho	GIVE	1447	tɛ̀			to  give	दिनु	१९०
191	Nubri_Lho	BURN	2102	dzʰi			to  burn	डढाउनु	१९१
192	Nubri_Lho	DIE	1494	si			to die	मर्नु	१९२
193	Nubri_Lho	KILL	1417	sɛ̀			to  kill	मार्नु	१९३
194	Nubri_Lho	FLY (MOVE THROUGH AIR)	1441	laŋ			to fly	उड्नु	१९४
195	Nubri_Lho	WALK	1443	ɖò			to walk	हिँड्नु	१९५
196	Nubri_Lho	RUN	1519	lʌluɖò			to run	दौडनु	१९६
197	Nubri_Lho	GO	695	ɖò			to go /	जानु	१९७
198	Nubri_Lho	COME	1446	sjòk			to come	आउनु	१९८
199	Nubri_Lho	SPEAK	1623	lap			to speak/ speak	बोल्नु	१९९
200	Nubri_Lho	LISTEN	1608	njen			to  hear/listen	सुत्‍नु	२००
201	Nubri_Lho	LOOK	1819	tē			to look	हेर्नु	२०१
202	Nubri_Lho	I	1209	ŋa̤			I	म	२०२
203	Nubri_Lho	THOU	1215	kʰjɛ			you (informal)	तँ	२०३
204	Nubri_Lho	YOU (FORMAL ADDRESS)	2844	kʰjɛ			you (formal)	तपाई	२०४
205	Nubri_Lho	HE	1211	kʰò			he	ऊ	२०५
206	Nubri_Lho	SHE	1834	mò			she	उनी	२०६
207	Nubri_Lho	WE (INCLUSIVE)	1131	tsʰaŋma			we (inclusive)	हामी (समावेशी)	२०७
208	Nubri_Lho	WE (EXCLUSIVE)	1130	tʰamdze			we (exclusive)	हामी (असमावेशी)	२०८
209	Nubri_Lho	YOU	1213	kʰuŋtsʰaŋma			you (plural)	तिमीहरू	२०९
210	Nubri_Lho	THEY	817	kʰuŋtʰamdze			they	उनीहरू	२१०
