# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG
110	Gyalsumdo	ANT	tomaɹ	Ant:Low-Rise	NEW	t o m a ɹ	0	0
372	Jirel	ANT	tʰoŋmatsi	Ant:	NEW	tʰ o ŋ m a t s i	0	0
629	Kagate	ANT	tomak	Ant:Mid	NEW	t o m a k	0	0
886	Lowa	ANT	mbudaɲa	Ant:	NEW	m b u d a ɲ a	0	0
1139	Nubri	ANT	hɹomo	Ant:(Low-)Rise	NEW	h ɹ o m o	0	0
1393	Sherpa	ANT	tʰəksəŋma	Ant:	NEW	tʰ ə k s ə ŋ m a	0	0
1636	Tsum	ANT	tɹomu	Ant:Low-Rise	NEW	t ɹ o m u	0	0
1900	Yolmo	ANT	tomaŋ	Ant:Mid-Rise	NEW	t o m a ŋ	0	0
35256	Daofu	ANT	skhro	ant	OLD	s kʰ r o	2954	2954
35807	Japhug	ANT	qro	ant	OLD	q r o	2954	2954
33338	Bokar	ANT	ta ruk	ant	OLD	t a + r u k	2954	2954
40503	Khaling	ANT	khelem		OLD	kʰ e l e m	648	648
40759	Old_Chinese	ANT	m→qʰajʔ		OLD	m + qʰ a j ʔ	1705	1705
40760	Old_Chinese	ANT	qʰˤoʔ		OLD	qʰˤ o ʔ	2954	2954
41114	Old_Burmese	ANT	pu◦ro₁k◦chip		OLD	p u + r o₁/o k + ch i p	2954	2954
41522	Limbu	ANT	sikcemba		OLD	s i k c e m p a	2549	2549
41554	Wobzi_Khroskyabs	ANT	skʰrɑ̂ɣ		OLD	s kʰ r ɑ̂ ɣ	2954	2954
41807	Chepang	ANT	koŋ.rok	ant (sp.), small black ant with several varieties	OLD	k o ŋ + r o k	2954	2954
42073	Garo	ANT	sim-il-chak	ant (n)	OLD	s i m + i l + ch a k	3916	3916
42354	Old_Tibetan	ANT	grog ma		OLD	g r o g + m a	2954	2954
42452	Thulung	ANT	khalem		OLD	kʰ a l e m	648	648
42644	Hakha_Chin	ANT	hngerhte	ant (n.)	OLD	ŋ̊ e r̥ t e	4114	4114
43013	Bunan	ANT	kurkuʈik	ant	OLD	k u r k u ʈ i k	214	214
43456	Rongpo	ANT	kirməla	ant	OLD	k i r m ə l a	214	214
43682	Kulung	ANT	khalem	black ant (n.)	OLD	kʰ a l e m	648	648
43859	Bantawa	ANT	cɨkɨyaŋ	ant	OLD	ts ɨ k ɨ j a ŋ	2549	2549
44109	Atsi	ANT	pau⁵¹voʔ⁵⁵	ant 1	OLD	p a u ⁵¹ + v o ʔ ⁵⁵	2954	2954
44110	Bola	ANT	phə̆³¹ɣɔʔ³¹	ant 1	OLD	pʰ ə̆ ³¹ + ɣ ɔ ʔ ³¹	2954	2954
44111	Lashi	ANT	la³¹jɛt³¹	ant 1	OLD	l a ³¹ + j ɛ t ³¹	879	879
44112	Maru	ANT	phə̆³¹ɣuk³¹	ant 1	OLD	pʰ ə̆ ³¹ + ɣ u k ³¹	2954	2954
44113	Xiandao	ANT	chaŋ³¹m̥an⁵⁵	ant 2	OLD	cʰ a ŋ ³¹ + m̥ a n ⁵⁵	880	880
44140	Achang_Longchuan	ANT	tɕhi⁵⁵man⁵⁵	ant 2	OLD	tɕʰ i ⁵⁵ + m a n ⁵⁵	891	891
34706	Dulong	ANT	ɕɯ⁵⁵ɹɔʔ⁵⁵	ant	OLD	ɕ ɯ ⁵⁵ + ɹ ɔ ʔ ⁵⁵	2954	2954
44523	Rangoon	ANT	pɑ⁵³jwɛʔ⁴sheʔ⁴		OLD	p ɑ ⁵³ + j w ɛ ʔ ⁴ + sʰ e ʔ ⁴	2954	2954
45750	Bahing	ANT	gatsiŋma, gaːtsiŋma	ant (n)	OLD	g a ts i ŋ m a	943	943
45975	Lushai	ANT	fanghmir	ant (generic)	OLD	f a ŋ m̥ i r	1508	1508
45976	Lushai	ANT	tlûng◦pi	ant (white), termite	OLD	t l û/u ŋ + p i	1509	1509
46523	Beijing	ANT	ma²¹⁴₃₅ji²¹⁴	ant	OLD	m a ²¹⁴/³⁵ j i ²¹⁴	1705	1705
46524	Guangzhou	ANT	ŋɐi²³	ant	OLD	ŋ ɐ i ²³	1705	1705
46525	Chaozhou	ANT	hia³⁵		OLD	h i a ³⁵	1705	1705
46526	Longgang	ANT	li³³kʊŋ³³		OLD	l i ³³ k ʊ ŋ ³³	10270	10270
46527	Jieyang	ANT	hia³⁵		OLD	h i a ³⁵	1705	1705
46528	Xingning	ANT	mi³³kʊm⁴⁵		OLD	m i ³³ k ʊ m ⁴⁵	10269	10269
47603	Ukhrul	ANT	ca-liŋ	ant	OLD	c a + l i ŋ	29744	29744
47805	Hayu	ANT	tsikibʊʔla	ant (n)	OLD	ts i k i b ʊ ʔ l a	2549	2549
48012	Tangut	ANT	kjiwr		OLD	k j i w r	2954	2954
48327	Mikir	ANT	misò		OLD	m i s ò/o	10501	10501
48571	Rabha	ANT	soŋ-so-mar	ant	OLD	s o ŋ + s o + m a r	10500	10500
24891	Tibetan_Xiahe	ANT	mbə tɕaχ ma	ant	OLD	m b ə _ tɕ a χ _ m a	2954	2954
34605	Yidu	ANT	pɑ³¹si⁵⁵	ant	OLD	p ɑ ³¹ + s i ⁵⁵	2910	2910
25207	Motuo_Menba	ANT	khaŋ dʑi la	ant	OLD	kʰ a ŋ _ dʑ i _ l a	3740	3740
26608	Jingpho	ANT	kă³³kjin³³	ant	OLD	k ă ³³ + k j i n ³³	195	195
27592	rGyalrong_Maerkang	ANT	kho |rok	ant	OLD	kʰ o _ r o k	2954	2954
27811	Lisu	ANT	bo̱³¹lo̱³³	ant	OLD	b o̠ ³¹ l o̠ ³³	2957	2957
27825	Tibetan_Alike	ANT	cçok mæ	ant	OLD	cç o k _ m æ	2954	2954
27907	Tibetan_Lhasa	ANT	tʂhoː¹³ma⁵⁵	ant	OLD	ʈʂʰ oː ¹³ + m a ⁵⁵	2954	2954
29534	Tibetan_Batang	ANT	dʑa⁵⁵dʐoʔ⁵³tʂᴜ¹³ma⁵³	ant	OLD	dʑ a ⁵⁵ + ɖʐ o ʔ ⁵³ + ʈʂ u ¹³ + m a ⁵³	2954	2954
43233	Byangsi	ANT	nɔŋkrɔ̀	ant	OLD	n ɔ ŋ k r ɔ̀	2954	2954
31390	Zhaba_Daofu_County	ANT	po⁵⁵ʐo⁵⁵	ant	OLD	p o ⁵⁵ + ʐ o ⁵⁵	2954	2954
31506	Darang_Taraon	ANT	kɯ³¹jɯ⁵³	ant	OLD	k ɯ ³¹ + j ɯ ⁵³	29743	29743
#
15	Gyalsumdo	ARM OR HAND	laɡpa	Arm/Hand:Low-Rise	NEW	l a ɡ p a	0	0
281	Jirel	ARM OR HAND	lakpa	Arm/Hand:Low-Rise	NEW	l a k p a	0	0
542	Kagate	ARM OR HAND	laɡpa	Arm/Hand:Low-Rise	NEW	l a ɡ p a	0	0
794	Lowa	ARM OR HAND	laɡpa	Arm/Hand:Fall-Rise	NEW	l a ɡ p a	0	0
1053	Nubri	ARM OR HAND	lakpa	Arm/Hand:(Low-)Rise	NEW	l a k p a	0	0
1304	Sherpa	ARM OR HAND	laɡpa	Arm/Hand:Low-Rise	NEW	l a ɡ p a	0	0
1549	Tsum	ARM OR HAND	lakpa	Arm/Hand:Low-Rise	NEW	l a k p a	0	0
1813	Yolmo	ARM OR HAND	laɡpa	Arm/Hand:(Mid-)Fall	NEW	l a ɡ p a	0	0
#
33141	Bokar	ARMPIT	kɯŋ rum	armpit	OLD	k ɯ ŋ + r u m	2599	2599
35808	Japhug	ARMPIT	tɯ-pjaχpa	armpit	OLD	t ɯ p j a χ p a	3172	3172
40515	Khaling	ARMPIT	lâm		OLD	l â/a m	3561	3561
40516	Limbu	ARMPIT	laptaŋba		OLD	l a p t a ŋ b a	3561	3561
34103	Tibetan_Alike	ARMPIT	ntɕhan	armpit	OLD	n tɕʰ a n	140	140
41808	Chepang	ARMPIT	ʔa.ka.cyulʔ	armpit	OLD	ʔ a + k a + tʃ j u l ʔ	3792	3792
