S. N.	Nubri Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
179	[ɲuŋwa]	Few	थोरै	(Low-)Rise
180	[maŋa]	Many	धेरै	(Low-)Rise
181	[kiɾi]	All	सबै	
182	[saje]	To eat	खानु	(Low-)Rise
183	[soɡjapje]/[mukje]	To bite	टोक्नु	
184	[nd̪okje]	To be hungry	भोकाउनु	
185	[t̪ʰuŋje]	To drink	पिउनु	Mid
186	[komje]	To be thirsty	तिर्खाउनु	Mid 
187	[ɲaje]	To sleep	सुत्नु	(Low-)Rise
188	[tʰelaɲaje]	To lie	पल्टनु	
189	[t̪eje]	To sit	बस्नु	(Low-)Rise
190	[t̪eɾje]	To give	दिनु	(High-)Fall
191	[tɕʰikje]	To burn	डढाउनु	High
192	[ɕije]	To die	मर्नु	Mid
193	[seje]	To kill	मार्नु	Mid
194	[pʰuɾje]	To fly	उड्नु	High
195	[ndoje]	To walk	हिँड्नु	Mid
196	[paŋt̪aŋje]	To run	दौडिनु	
197	[ndoje]	To go	जानु	
198	[uŋje]	To come	आउनु	(Low-)Rise
199	[naje]	To speak	बोल्नु	High
200	[ɲenje]	To hear/listen	सुन्नु	(Low-)Rise
201	[nd̪aje]	To look	हेर्नु	Mid
202	[ŋa]	I	म	Low
203	[kʰøʔ]	You (informal)	तँ	High
204	[kʰeɾaŋ]	You (formal)	तपाइँ	Mid
205	[kʰo]	He	उ	High
206	[mo]	She	उनी	(Low-)Rise
207	[woɾoŋ]	We (inclusive)	हामी (समावेशी)	(Low-)Rise
208	[jekja]	We (exclusive)	हामी (असमावेशी)	(Low-)Rise
209	[kʰekja]	You (plural)	तिमीहरु	
210	[kʰoŋkja]	They	उनीहरु	
211	[kʰu]	Load	भारी	High
212	[tsampa]	Flour (eaten as food)	पिठो	(High-)Fall
213	[seɾa]	Hailstone	असिना	High
214	[kjuma]	Intestine	आन्द्रा	(Mid-)Rise
215	[jəku]	Yard	आँगन	High
216	[pije]	To uproot	उखेल्नु	High
217	[t̪ʰap]	Oven	चुल्हो	High
218	[t̪iŋpa]	Heel	कुर्कुच्चो	High
219	[t̪oktse]	Spade	कोदालो	(High-)Fall
220	[t̪a]	Horse	घोडा	(High-)Fall
221	[kʰu]	Load	भारी	
222	[moje]	To plough	जोत्नु	High
223	[kenka]	Bond	तमसुक	(Low-)Rise
224	[t̪uŋma]	Beam (main wooden beam)	निदाल	(Mid-)Rise
225	[t̪ʰaɡpa]	Rope used to tie animals	दाम्लो	Mid
226	[makɾa]	Bread	दाह्री	Mid
227	[tsʰeɡjabje]	To measure	नाप्नु	
228	[paŋlep]	Plank	फल्याक	(High-)Fall
229	[miu]/[miɡzaŋ]	Hole	प्वाल	High
230	[t̪ʰoŋpa]	Plough (noun)	हलो	High
231	[kʰabtɕø]	Lid (cover)	बिर्को	Mid
232	[jowa]	Handle	बिँड	(Low-)Rise
233	[t̪om]	Bear	भालु	Mid
234	[nde]	Ghost	भुत	Low
235	[ly]	Manure	मल	Mid
236	[kjaŋ]	Bread	रोटी	(Low-)Rise
237	[ɹo]	Corpse	लास	(Low-)Rise
238	[pʰak]	Pig	सुँगुर	High
239	[ndu]	Grains	अन्न	Mid
240	[pekjoʔ]	Stick	लठ्ठी	(Low-)Rise
241	[ŋunak]	Sweat	पसिना	High
242	[leje]	To chew	चपाउनु	Mid
243	[miɡje]	To swallow	निल्नु	(Low-)Rise
244	[juɡje]	To throw	फ्याँक्नु	Mid
